TagName,UpVotes,Month
"amazon-appstore","3","1340"
"amazon-ecs","3","1337"
"amazon-emr","3","1345"
"amazon-product-api","3","1336"
"amazon-ses","3","1345"
"amazon-vpc","3","1345"
"amazon-vpc","3","1347"
"amazon-elasticache","3","1347"
"amazon-sqs","3","1340"
"amazon-ebs","3","1308"
"amazon-mws","3","1341"
"amazon-appstore","3","1342"
"amazon-iam","3","1344"
"amazon-mws","3","1348"
"amazon-cloudformation","2","1343"
"amazon-simpledb","2","1309"
"amazon-sqs","2","1323"
"amazon-product-api","2","1338"
"amazon-route53","2","1338"
"amazon-fps","2","1339"
"amazon-sns","2","1342"
"amazon-mws","2","1344"
"amazon-cloudwatch","2","1345"
"amazon-ebs","2","1340"
"amazon-fps","2","1333"
"amazon-vpc","2","1330"
"amazon-sqs","2","1327"
"amazon-sqs","2","1342"
"amazon-appstore","2","1348"
"amazon-mws","2","1345"
"amazon-cloudformation","2","1344"
"amazon-swf","2","1349"
"amazon-rds","2","1324"
"amazon-sqs","2","1331"
"amazon-ecs","2","1315"
"amazon-mws","2","1346"
"amazon-sqs","2","1346"
"amazon-appstore","2","1344"
"amazon-mws","2","1339"
"amazon-mws","2","1343"
"amazon-ecs","2","1319"
"amazon-ecs","2","1328"
"amazon-product-api","2","1331"
"amazon-elb","2","1329"
"amazon-simpledb","2","1315"
"amazon-product-api","2","1348"
"amazon-ebs","2","1341"
"amazon-ebs","2","1343"
"amazon-cloudfront","2","1342"
"amazon-elb","1","1342"
"amazon-sns","1","1344"
"amazon-payments","1","1346"
"amazon-sqs","1","1313"
"amazon-cloudfront","1","1315"
"amazon-ebs","1","1311"
"amazon-product-api","1","1335"
"amazon-rds","1","1340"
"amazon-fps","1","1338"
"amazon-emr","1","1339"
"amazon-ses","1","1340"
"amazon-simpledb","1","1349"
"amazon-ebs","1","1326"
"amazon-vpc","1","1329"
"amazon-appstore","1","1332"
"amazon-sns","1","1325"
"amazon-product-api","1","1325"
"amazon-route53","1","1337"
"amazon-elb","1","1339"
"amazon-ebs","1","1349"
"amazon-cloudformation","1","1341"
"amazon-rds","1","1341"
"amazon-swf","1","1348"
"amazon-ebs","1","1314"
"amazon-sqs","1","1321"
"amazon-mws","1","1338"
"amazon-sqs","1","1338"
"amazon-cloudfront","1","1324"
"amazon-ebs","1","1327"
"amazon-sqs","1","1329"
"amazon-cloudformation","1","1342"
"amazon-elasticache","1","1349"
"amazon-cloudformation","1","1346"
"amazon-route53","1","1345"
"amazon-emr","1","1334"
"amazon-sqs","1","1310"
"amazon-cloudfront","1","1322"
"amazon-cloudwatch","1","1344"
"amazon-sns","1","1341"
"amazon-cloudwatch","1","1348"
"amazon-cloudfront","1","1314"
"amazon-sqs","1","1315"
"amazon-sns","1","1323"
"amazon-sqs","1","1316"
"amazon-elb","1","1338"
"amazon-rds","1","1328"
"amazon-sns","1","1324"
"amazon-emr","1","1325"
"amazon-ecs","1","1324"
"amazon-sns","1","1345"
"amazon-route53","1","1349"
